Application ID,Chief Investigator Team,Funding Scheme,Grant Title,Administering Institution,Grant Start Date,Total amount awarded,Plain Description
2042773,Dr Scott McAlister,Investigator Grants,Reducing low value care to reduce healthcare's carbon emissions,University of Melbourne,1/1/2026,688405,"Healthcare produces 7% of Australia's greenhouse gas emissions. The Australian Government has committed to net-zero healthcare by 2050. This needs to come from reducing emissions of clinical care, with a first step being reducing low value care.   This research will 1) quantify emissions of 3 common surgeries and procedures that are potentially low value, 2) quantify emissions of low value treatments for lower back pain, and 3) develop a carbon database of medical devices and interventions.  "
2042774,Assoc Prof Amy Chung,Investigator Grants,Profiling protective antibody responses against infectious diseases,University of Melbourne,1/1/2026,2818905,"Antibodies are a vital component of the immune response required for protection and control of infectious diseases. My research program will determine how antibodies contribute to protection and control of some of the world’s most deadly infectious pathogens (COVID-19, Influenza, Malaria and Mycobacterium Tuberculosis) in order to develop improved antibody-based vaccines, therapies and diagnostic tools."
2042792,Prof Chengzhong Yu,Investigator Grants,Enabling Immune Checkpoint Inhibitor Treatment for Triple Negative Breast Cancer,The University of Queensland,1/1/2026,3014025," Immunotherapy uses the body’s own immune system to fight cancer. This project aims to develop an adjuvant that can be combined with current immunotherapy for triple-negative breast cancer (TNBC), the most dangerous form of breast cancer that is difficult to treat by current methods. Expected outcomes include improved anti-tumour efficacy of immunotherapy for TNBC, ultimately leading to better patient outcomes and potentially offering a new treatment option for TNBC patients.  "
2042837,Dr Sarah Diepstraten,Investigator Grants,Boosting the efficacy of BH3-mimetic drugs for p53-deficient blood cancers and beyond,The Walter and Eliza Hall Institute of Medical Research,1/1/2026,1623700,"Many patients with aggressive blood cancers still have no effective treatment options. I have discovered an exciting new treatment strategy for these patients, combining drugs called BH3-mimetics with drugs that activate a protein called STING. My research will find genetic factors that can predict patient response and determine the best way to use these drugs to fight blood cancer. This information will inform future clinical trials to improve outcomes for people with aggressive blood cancers."
2042847,Prof Arthur Christopoulos,Investigator Grants,Allosteric modulation of muscarinic receptors for the treatment of neurocognitive deficits,Monash University,1/1/2026,2000000,"Schizophrenia (SCZ) and Alzheimer’s Disease (AD) are major global health burdens that share the common feature of poorly treated memory impairment. This project focuses on a specific family of brain receptor proteins that are well-validated in the control of cognition. I will leverage groundbreaking discoveries that I have made of novel binding sites on these proteins to overcome current medicinal limitations to yield more targeted, safer and efficacious medicines to treat SCZ and AD."
2042887,Dr Hailey Meaklim,Investigator Grants,Better sleep for better mental health: Implementing sleep disorder education into mental healthcare training,University of Melbourne,1/1/2026,688405,"It is well known that poor sleep worsens mental health. Despite this knowledge, mental healthcare clinicians receive almost no training in treating sleep problems. This project will launch an Australia-wide online training initiative to upskill mental healthcare clinicians to deliver effective sleep treatments. This project will ensure clinicians have the knowledge and skills needed to treat sleep problems and improve sleep and mood outcomes in individuals experiencing mental health disorders."
2042893,Prof Steve Webb,Investigator Grants,Adaptive Platform Trials: Expanding impact,Monash University,1/1/2026,3014025,"I am an intensive care physician who leads clinical trials. I have world leading expertise in a new type of trial design, termed an adaptive platform trial, that generates reliable evidence to guide care faster and at lower cost than previous methods.  I will generate new knowledge by leadership of REMAP-CAP, a trial that has generated evidence about best treatment for patients with severe COVID-19 infection and apply adaptive platform trial methods to other disease areas."
2042896,Prof David Tarlinton,Investigator Grants,What determines the longevity of antibody production after infection or vaccination?,Monash University,1/1/2026,2414025,"The production of antibodies is critical to health, protecting us from infectious agents and their toxic products. In some cases protection lasts for months, in others for a lifetime, and new protective specificities are able to be added without overwhelming the system. The aim of this research project is to understand how the survival of the cells that make antibodies is determined and its relationship to age, specificity and the overall immune status."
2042906,Dr Archita Mishra,Investigator Grants,Shaping early-life Immunity: The role of microbes in immune development from the womb to the world,University of Sydney,1/1/2026,688405,"Our research focuses on how microbes shape a baby’s immune system even before birth. We study how a mother’s beneficial bacteria affect her baby's health, aiming to create new ways to support infants from birth. We also look at how human migration impacts maternal-child health. By employing special models that mimic early gut interactions, we hope to develop better immunity for infants, ensuring they have a healthy start in life."
2042923,Dr Carlos Gantner,Investigator Grants,Decoding synucleinopathy by linking genomic variation to function,University of Melbourne,1/1/2026,688405,"As the population ages, there is increasing need to develop therapies to slow or reverse neurodegeneration. This project focuses on decoding the genetic risk factors that predispose individuals to Parkinson’s disease and related disorders. How these DNA variations lead to disease is almost entirely unknown. This project will deliver: 1) mechanistic insight into how gene variants predispose patients to disease; and 2) identify new therapeutic targets to treat Parkinson’s and related diseases."
2042936,Dr Rosalie Power,Investigator Grants,Transforming Sexual Health through co-design with LGBTQ+ People with Intellectual Disability,Western Sydney University,1/1/2026,688405,"This project will examine the sexual health and healthcare needs of LGBTQ+ people with intellectual disability using arts-based qualitative research methods. The findings will be translated into actionable practice guidelines, accessible sexual health resources and an exhibition to enhance sexual health promotion, healthcare delivery, and health literacy within this community. This will be achieved through co-design with LGBTQ+ people with intellectual disability and other key stakeholders."
2042979,Prof Nigel Curtis,Investigator Grants,Novel biomarkers for the diagnosis and prevention of high-burden infections in children and adults,Murdoch Children's Research Institute,1/1/2026,2811220,"I lead a research team committed to reducing the global burden of infectious diseases. Our current focus is on improving diagnostic tests and vaccines for tuberculosis (TB), using a unique collection of samples from children and adults worldwide. Additionally, we aim to identify blood markers that can predict which individuals are at highest risk of severe illness or death if they develop a respiratory infection so that targeted preventative interventions can be implemented to save lives."
2042999,Dr Courtney McDonald,Investigator Grants,Cell therapies for the injured perinatal brain,Monash University,1/1/2026,1623700,"Preterm brain injury can lead to life-long disability, with limited treatments. I have shown that application of umbilical cord blood cells reduces preterm brain injury, but optimising therapy for human use is difficult because we don’t understand how they work and there is limited availability of cells. Using state-of-the-art preclinical models of preterm brain damage, I will determine how the cells reduce injury, allowing me to develop optimal cell therapies to treat preterm brain injury."
2043012,Prof Andreas Strasser,Investigator Grants,Investigating programmed cell death and the tumour suppressor p53 to develop improved therapies for cancer,The Walter and Eliza Hall Institute of Medical Research,1/1/2026,3014025,"Cancer is a leading cause of morbidity and mortality in worldwide, imposing a substantial burden on affected individuals, their families and the health care system. We will build on our previous success of delivering a highly successful anti-cancer drug (Venetoclax) to market by determining the mechanisms that control the killing of cancer cells and suppress tumour development. Our vision is to kick-start the development of new anti-cancer drugs that enhance the effects of existing therapies."
2043021,Dr Claire Kelly,Investigator Grants,Antecedents and lifelong consequences of perinatal brain injuries,Monash University,1/1/2026,688405,My research will focus on infants born very preterm (less than 32 weeks of gestation) and at term (greater than or equal to 37 weeks of gestation) who suffer brain injuries in the perinatal period. I will create tools from brain scans that can be used to discover the precise causes and consequences of perinatal brain injuries in these infants. This could help to improve the clinical management and health and development of these infants over their lifetimes.
2043044,Prof Sant-Rayn Pasricha,Investigator Grants,Innovations in anaemia research: from trials to translation,The Walter and Eliza Hall Institute of Medical Research,1/1/2026,2954575,"Anaemia is one of the most common health conditions globally. I lead the world's foremost anaemia research program aiming to reduce the anaemia burden especially in low income countries. I will undertake large trials of innovative anaemia solutions for adolescent girls and pregnant women in low income countries and apply cutting-edge lab techniques to make biologic discoveries on the impacts of iron on health. My findings will support global health, via synthesis of WHO policies and guidelines."
2043045,Dr Stefanie Mendes Bader,Investigator Grants,Understanding mechanisms of inflammation in long COVID,The Walter and Eliza Hall Institute of Medical Research,1/1/2026,688405,"Long COVID is a multifaceted condition and represents a significant health concern. Correlations have been made in attempts to understand its causes, but molecular mechanisms remain unknown. This project will utilise my unique mouse models of COVID-19 for a detailed interrogation of long-term disease outcomes, focusing on understanding the role and regulation of chronic inflammation in long COVID. My model and discoveries will provide rationale and a platform for testing future therapies. "
2043055,Dr Andrew Lin,Investigator Grants,Artificial intelligence-enabled quantitative atherosclerosis imaging by computed tomography to guide personalised management of coronary artery disease: a randomised clinical trial,Monash University,1/1/2026,513043,"Coronary heart disease (CHD) occurs due to fatty plaque build-up in the coronary arteries, and the risk of heart attack or death increases in proportion to the amount of plaque. CT scans are a low-radiation test routinely used to assess for CHD. I aim to apply a rapid and accurate artificial intelligence (AI)-powered solution for measuring the total amount of coronary plaque on CT scans in a randomised clinical trial, where it will guide personalised testing and treatment of patients with CHD."
2043056,Prof Matthew McKay,Investigator Grants,"Leveraging data-driven computational platforms to accelerate the effective prevention, treatment and surveillance of viral infectious diseases",University of Melbourne,1/1/2026,2618905,"Viruses pose constant threats to human health.  Based on our pioneering studies, cutting-edge engineering technologies for processing large and complex biological data sets, this project will leverage Big Data and AI methods to define platforms that accelerate discovery of effective vaccines and therapeutics, and for enhancing surveillance of viral infectious diseases.  This highly multidisciplinary work will involve collaboration with virology, immunology, and public health experts."
2043057,Dr Katherine Davies,Investigator Grants,Clearing roadblocks to therapeutically target kinases & pseudokinases for treating inflammatory diseases,The Walter and Eliza Hall Institute of Medical Research,1/1/2026,688405,"Programmed cell death is essential for maintaining healthy biological processes. However, when dysregulated it can contribute to disease. My program of research focusses on RIPK3 and MLKL, the final effector proteins of a highly inflammatory form of cell death called necroptosis. I will characterise the structural transitions that these proteins undergo during the execution of cell death, rendering them highly attractive targets for development of new therapies to treat inflammatory diseases.  "
2043072,Assoc Prof Emma Ridley,Investigator Grants,Improving the quality of evidence in nutrition during recovery from critical illness,Monash University,1/1/2026,1623700,"Globally, an estimated 45 million people become critically ill each year. Survival is common; however, quality of survival is a defining challenge. My program is investigating the crucial role of nutrition in patient recovery. I will target consumer prioritised evidence gaps, define preferred outcomes and use novel research design to enhance the quality of recovery for survivors of critical illness using nutrition interventions.  "
2043075,Prof Roxanne Bainbridge,Investigator Grants,'We don’t get paid to keep people healthy’: Optimising Indigenous Patient-Centred Care through Coordinated and Comprehensive Health Management and Decision-making,The University of Queensland,1/1/2026,2818905,"Value Based Care (VBC) promises a significant leap in the quality of care, patient outcomes and system efficiencies that traditional models have struggled to achieve for Indigenous Australians. My research aims to develop, implement and evaluate a culturally aligned VBC model incorporating Patient Reported Outcome Measures in 3 chronic conditions and surgical specialities. My work is expected to improve patient health outcomes and satisfaction and reduce hospital admissions. "
2043078,Dr Yi Wang,Investigator Grants,A temporary “bloodstream”: human oxygenating hydrogels for the treatment of brain injuries,University of Melbourne,1/1/2026,688405," Approximately 700,000 Australians suffer from brain injuries, and cell transplantation therapies are the only way to replace damaged tissue. This research develops a novel biomaterial technology specifically designed to overcome the lack of vascular networks supplying oxygen critically limiting cell survival and integration post-transplantation. The work of my program will address this challenge, providing a fundamental new treatment approach for those Australians living with brain injury. "
2043104,Dr Thomas Arkell,Investigator Grants,Working Toward a Better Regulatory Framework for Medical Cannabis,Swinburne University of Technology,1/1/2026,688405,"Hundreds of thousands of Australians are now using prescribed medical cannabis, most often for chronic pain which is notoriously difficult to treat. Though medical cannabis is a promising treatment alternative, we lack essential information about its efficacy and safety due to a lack of research. This project aims to address this knowledge gap through a series of multidisciplinary patient-focused investigations. The results will have direct implications for health and road safety policy."
2043108,Prof Karen Day,Investigator Grants,Solving the surveillance challenges for malaria elimination in high burden countries,University of Melbourne,1/1/2026,2000000,"Where malaria transmission is extremely high in Africa and India, virtually everyone is infected with diverse parasite species and strains. Most people do not have symptoms so they will not come to the clinic to be diagnosed. To eliminate malaria, we have to be proactive and find these infected people with no symptoms by using sensitive molecular diagnostics. This project will use such diagnostics to define better strategies to eliminate malaria where transmission is high."
2043111,Dr Jian Zeng,Investigator Grants,Integrating single-cell omics with genetics: Novel statistical methods to enhance biological understanding and risk prediction of common diseases,The University of Queensland,1/1/2026,1623700,"The future of medicine involves big data to inform disease prevention, diagnosis and treatment strategies. My research program aims to develop statistical methods and software tools to integrate and analyse individual disease risk profiles with genome sequencing data at the level of single cells. This work is expected to enhance our understanding of the biological mechanisms of common diseases and prediction of individual disease risk based on their genetic makeup."
2043112,Prof Danny Rischin,Investigator Grants,Expanding the role of immunotherapy in cutaneous and mucosal head and neck squamous cell carcinomas,University of Melbourne,1/1/2026,2763660,"Immunotherapy has improved survival of patients with incurable advanced skin and head and neck squamous cell cancers. My research is focused on further improving outcomes including determining the role of adding immunotherapy in patients with earlier stages of these cancers that are curable with major surgery and/or radiotherapy combined with chemotherapy. These approaches may improve survival in skin cancer, and decrease the intensity of treatment for skin and base of tongue/tonsil cancers.  "
2043119,Prof Rachelle Buchbinder,Investigator Grants,"A more integrated, responsive and sustainable learning musculoskeletal health system",Monash University,1/1/2026,3014025,"Musculoskeletal conditions place a huge burden on the world’s population. Poor care and research waste are major contributors to this burden. My focus for the next five years will be to improve outcomes for people with musculoskeletal conditions by embedding living guidelines into usual care, ensuring better value care for challenging musculoskeletal problems, and ensuring the most important research is prioritised."
2043120,Dr Yi Ju,Investigator Grants,Harnessing nanotechnology to develop next-generation mRNA intracellular cancer therapy,RMIT University,1/1/2026,615377.54,"Many cancer targets exist inside cells, and despite the development of effective antibodies against them, they remain undruggable due to the delivery challenges. By developing mRNA-encoded antibodies, I will leverage our lipid nanoparticle technology to deliver therapeutic antibodies inside cancer cells, creating drugs for previously undruggable targets. This will expand the applicability of antibodies beyond surface targets and enable modulation of internal targets within cancer cells."
2043155,Assoc Prof David Szmulewicz,Investigator Grants,"Phenotyping of Inherited Cerebellar Ataxias in Indigenous Australians: Genetic, Clinical, and Diagnostic Insights",The Bionics Institute of Australia,1/1/2026,1174220,"Spinocerebellar Ataxia type 3 (SCA3) and SCA7 are brain diseases which impair coordination and balance, and are increasingly affecting Aboriginal communities. These diseases manifest differently among Aboriginal people, potentially complicating their participation in medical trials. Our research strives to enhance understanding of these diseases within Aboriginal populations, aiming to pave the way for tailored treatments and improved access to healthcare interventions."
2043165,Prof Sandra Hayes,Investigator Grants,Preventing cancer-related lymphoedema and its associated burden,Cancer Council Queensland,1/1/2026,2000000,"Cancer-related swelling of the limbs––lymphoedema––is a persistent and painful condition that >10,000 Australians treated for breast or pelvic cancer develop each year. There is no cure and treatment can be difficult to access. My research aims to drive improvements in cancer care, ensuring equitable integration of evidence-based lymphoedema prevention and management. This work is expected to reduce health inequities and improve quality of life for Australians living with lymphoedema."
2043167,Prof Jonathan Carapetis,Investigator Grants,Delivering the tools for eliminating rheumatic heart disease,University of Western Australia,1/1/2026,2000000,"Within five years, our goals include advancing a Strep A vaccine trial, evidence-based guidelines for environmental health interventions targeting Strep A infections, improving penicillin delivery for RHD prevention, develop new formulations and finalise a diagnostic test for ARF. These efforts aim to enhance management of Strep A diseases, address critical gaps in healthcare access and outcomes, particularly among First Nations communities and marginalised populations globally.       "
2043180,Assoc Prof Sarah Zaman,Investigator Grants,Women’s Heart Disease: overcoming health disparities,University of Sydney,1/1/2026,1311850,"Heart disease is the leading killer of women and affects 275 million women globally. Despite this, heart disease in women remains under-recognised, under-treated and under-researched. This research program will tackle inequities in care for women by improving prevention and early diagnosis of coronary heart disease as well as better understanding and treatment of female-dominant types of heart attacks. "
2043188,Prof Jayashri Kulkarni,Investigator Grants,New Hormone Treatments for Women with Depression Across the Life Cycle,Monash University,1/1/2026,2811220,"The goal of my research program is to develop life-changing, new hormone treatments for women with premenstrual, perinatal and perimenopausal depression. I will study new gonadal hormones in clinical trials to develop new treatments and further the understanding of how these hormones impact mental health. Successful new treatments will be rapidly translated into practice to improve women’s mental health."
2043191,Dr Eli Muller,Investigator Grants,Towards Innovative Deep Brain Stimulation Strategies: Exploiting the Diffuse Thalamus,University of Sydney,1/1/2026,688405,"This project aims to improve our understanding of Parkinson's disease (PD) and the effectiveness of Deep Brain Stimulation (DBS) treatment. It challenges traditional ideas about brain circuits, using advanced techniques to explore how PD affects brain systems. Three goals: 1) Study how PD affects these non-traditional brain systems. 2) Look at brain changes during invasive stimulation of these systems in monkeys. 3) Create better DBS models to improve clinical treatment strategies."
2043192,Prof Anne Holland,Investigator Grants,Advancing non-drug treatments to improve lung health,Monash University,1/1/2026,2954575,"Over 7 million Australians live with a chronic lung condition, characterised by distressing breathlessness, poor physical function and frequent hospital admissions. My vision is to reduce the burden of chronic lung disease using highly effective non-drug treatments - exercise-based rehabilitation, oxygen therapy and self-management. My research will improve lung health outcomes by developing, testing and personalising non-drug treatments, and driving excellence in healthcare delivery."
2043211,Dr Laila Ibrahim,Investigator Grants,There’s no place like home: keeping kids out of hospital through smarter antibiotic use,Murdoch Children's Research Institute,1/1/2026,688405,"For many children in Australian hospitals, admission to hospital could be prevented or treatment could have been given at home. Unnecessary hospitalisations reduce children's quality of life and delay care for others. Children are commonly hospitalised due to infections requiring intravenous antibiotics. My research focuses on changing how we use intravenous antibiotics so that more children can be at home. By developing national guidelines, I will ensure children benefit from my findings."
2043220,Dr Joshua Wiley,Investigator Grants,"Sleep after Cancer: Scalable, Precision, and Personalised Treatment of Insomnia",Monash University,1/1/2026,1623700,"About 1 in 2 Australians will be diagnosed with cancer in their life, and about half of these will experience poor sleep. Poor sleep hurts their quality of life and costs the Australian economy. We have treatments, but they are costly and not available to most people with cancer. I will lead a program to work with the community, healthcare, and researchers to build and test treatments for sleep after cancer that can be delivered across Australia at low cost. "
2043223,Assoc Prof Jenny Wang,Investigator Grants,Targeting malignant stem cells: the path towards a cure for deadly blood cancer,University of Sydney,1/1/2026,2954575,Acute myeloid leukaemia remains difficult to treat with a 5-year overall survival rate of only 27.4%. Malignant stem cells are believed to be the root cause for cancer treatment failure. This research program aims to develop innovative therapies targeting malignant stem cells that are more effective and less toxic than current first-line cancer treatments.
2043227,Prof Grant McArthur,Investigator Grants,Improving outcomes for patients with melanoma,University of Melbourne,1/1/2026,3014025,Drug therapies that target molecules that initiate the growth of melanoma have been highly successful but suffer from the limitation that resistance often develops.  The project will investigate why cells are not eradicated and develop new and specific treatment approaches to reverse this.    The project will also discover new markers predicting the risk of development of metastases to allow personalised follow up and carefully tailored use of therapies to prevent metastases.
2043233,Dr Rachel Joyce,Investigator Grants,Deciphering mechanisms underpinning tobacco-unassociated lung cancer development to improve patient outcomes,The Walter and Eliza Hall Institute of Medical Research,1/1/2026,680958.12,"Tobacco-unassociated lung cancer is a leading cause of cancer-related death that predominantly arises in female people, for reasons that are currently unknown. I will examine healthy and cancerous lung tissues to uncover how sex and aging influence the ways in which tobacco-unassociated lung cancers develop in never-smokers, and reveal new, targeted strategies for disease treatment and prevention in at-risk patients. "
2043281,Dr David Thal,Investigator Grants,Harnessing protein allostery to accelerate drug discovery,Monash University,1/1/2026,2818905,"Drug discovery research is plagued by high failure rates. Targeting allosteric sites on proteins offers a new approach to drug discovery. However, allosteric sites are more difficult to investigate because they can be located anywhere on a protein. This project aims to explore how different types of drug-like molecules interact with cell proteins to regulate their function. The outcomes of this research will inform future academic and industrial drug discovery programs."
2043294,Dr Julia Marchingo,Investigator Grants,Investigating post-transcriptional control of T cell immunity against infection and cancer,The Walter and Eliza Hall Institute of Medical Research,1/1/2026,1623700,"Specialised immune cells, called T cells, recognise and kill virus infected and tumour cells. Sometimes T cells fail, resulting in chronic infection and cancer. Proteins are the building blocks that determine a cell’s function. This proposal uses new cutting-edge technology to measure the thousands of proteins that make up a T cell. By comparing how proteins differ between successful and failed responses we will identify and test new ways to improve T cell defence against cancer and infection."
2043305,Dr Davis McCarthy,Investigator Grants,Driving discovery with statistical and AI methods for spatial ‘omics and related data,St Vincent's Institute of Medical Research,1/1/2026,2818905,"New technologies make it possible to measure important features of cells, like the activity of genes, from slices of tissue. The potential for these technologies is enormous, but we need new computational tools to take full advantage. Here, we propose to develop new statistical and AI methods to address key data analysis challenges in the field and work with national and international colleagues to link genetics to the behaviour of cells in tissues in diseases like pulmonary fibrosis. "
2043314,Dr Matthew Hare,Investigator Grants,Breaking the cycle: building knowledge and strengthening health care to address the intergenerational diabetes epidemic among Aboriginal and Torres Strait Islander peoples,Menzies School of Health Research,1/1/2026,438043," Aboriginal and Torres Strait Islander communities are facing an intergenerational epidemic of diabetes and related chronic conditions. This collaborative research program will investigate early life risk factors for diabetes and related conditions, establish the burden of diabetes complications among Aboriginal people in the NT, and investigate new treatments and models of care to both prevent the development of diabetes and improve health outcomes for people living with diabetes. "
2043334,Dr Praveena Thirunavukkarasu,Investigator Grants,Natural Killer T cells to treat Inflammatory Bowel Disease,Monash University,1/1/2026,688405,"Inflammatory bowel diseases are an emerging health burden which affects >6.8 million people with no cure. In order to design effective therapeutic agents, it is important to understand how our gut microbiota interacts with the immune system. This research will provide a basic fundamental understanding of the link between one kind of immune cells called T cells and gut microbes to aid in treating inflammatory bowel diseases."
2043340,Assoc Prof Deanne Thompson,Investigator Grants,Advanced neuroimaging to improve the lives of infants at risk of brain injury or maldevelopment,Murdoch Children's Research Institute,1/1/2026,2818905,"My research program will develop urgently needed tools for identifying brain abnormalities on babies’ medical images. This will improve outcomes for babies at high risk of neurodevelopmental impairments by helping doctors improve diagnosis, and helping researchers evaluate new therapies. I will also use advanced image analyses to study brain abnormalities in at-risk fetuses, to harness brain plasticity at the earliest age possible, enabling very early interventions to improve patient outcomes."
2043344,Prof Hilda Pickett,Investigator Grants,Telomere biology in human health and disease,University of Sydney,1/1/2026,2554575,"Telomeres are specialised structures at the ends of human chromosomes that function to regulate cellular proliferation. Loss of telomere integrity promotes aging, while telomere maintenance is a pre-requisite for cancer cell immortality. The project aims to elucidate the DNA damage and repair mechanisms that exist at telomeres in normal cells, during cellular aging, and in immortal cancer cells. The overarching aim is to improve health outcomes for cancer and age-associated diseases."
2043352,Dr Amandeep Kaur,Investigator Grants,Molecular innovations to decode tauopathies at the nanoscale,Monash University,1/1/2026,1623700,"Proteins are the backbone of the biological world. As we age, some proteins misfold and accumulate in the brain causing devastating diseases like Alzheimer’s Disease. The fine details of how and why this happens are unknown. I plan to develop molecules that will allow us to 1) detect the identity and 2) see the molecular-level details of the misfolded proteins to unravel some of these mysteries. This research could lead to better diagnostics and effective treatments for Alzheimer’s Disease."
2043354,Dr Saurab Sharma,Investigator Grants,EQUiP-Australia: Co-designing an Equitable Model of Care for Musculoskeletal pain in Australia,University of New South Wales,1/1/2026,688405,Culturally and Linguistically Diverse (CALD) consumers suffer health care disparities in Australia. EQUIP-Australia will use a 3-staged process to co-design culturally tailored guideline-recommended pain education programs for and with CALD Australians with musculoskeletal pain and test them in general practices across Australia. Newly developed interventions will support 5 million CALD people’s pain care needs to understand and self-manage their pain.
2043356,Prof Kate Denton,Investigator Grants,Long-acting therapies to treat hypertension and organ injury,Monash University,1/1/2026,3014025,"New approaches for the treatment of hypertension are needed. In this program, ""a short burst of treatment early in life,"" ""a one-off treatment,"" or ""periodic intermittent treatment""  are being advanced with the potential to cause a seismic shift in the way hypertension is treated and, more importantly, controlled."
2043357,Dr Etienne Masle-Farquhar,Investigator Grants,Blood and bone: pathogenic leukocytes and acquired mutations within arthritic joints.,University of New South Wales,1/1/2026,688405,"1 in 10 people develop arthritis. A major hurdle for effective treatments is distinguishing ""Rogue"" disease-causing cells from normal cells. To study arthritic joints, I have built a national network collecting clinical samples that are otherwise discarded in hospitals, from >100 arthritis patients. I am applying cutting-edge methods, to identify and deeply interrogate immune cells that go ""rogue"" to drive flares and joint inflammation. Our knowledge gains will inform future targeted therapies."
2043365,Dr Samantha Dawson,Investigator Grants,Nutritional Psychiatry: supporting healthy eating in pregnancy to benefit child mental and brain health,Deakin University,1/1/2026,652131.49,"Poor diet quality in pregnancy is linked to perinatal depression, and both are linked to poorer mental and brain health in children. To help families lead healthier, happier lives, we need a better understanding of how diet during pregnancy affects child mental health and brain development. My research will generate critical knowledge to inform targeted prenatal dietary advice that can be easily implemented in pregnancy care, supporting better outcomes in families. "
2043381,Assoc Prof Rona Chandrawati,Investigator Grants,Advancing Implantable Medical Devices Through Nanotechnology,University of New South Wales,1/1/2026,2818905,"Medical devices such as catheters and stents are critical for patient care worldwide, but they often fail due to blood clotting and bacterial infections. This project aims to improve the performance of these devices by developing innovative bioactive coatings that continuously generate nitric oxide, a potent molecule that prevents both blood clotting and infections. The outcome of this research will significantly reduce implant failures, leading to better patient outcomes."
2043397,Dr Sue Chin Nang,Investigator Grants,Innovating bacteriophage diagnostics and therapy to combat antimicrobial resistance: A cell-free synthetic biology approach,Monash University,1/1/2026,688405,"Antibiotic-resistant bacteria are predicted to kill 10 million people annually by 2050. Bacteriophages (phages, bacteria-eating viruses) are a promising treatment option against these ‘superbugs’. However, phage therapy is in its infancy and its therapeutic potential is severely limited by inefficient phage production and a lack of pharmacological data. My project addresses these major knowledge gaps by developing a clinically adaptable phage therapy platform to treat ‘superbug’ infections."
2043407,Dr Alisa Glukhova,Investigator Grants,Decoding the Mechanisms of Signal Propagation through the Wnt Signaling Pathway,The Walter and Eliza Hall Institute of Medical Research,1/1/2026,1623700,"Cells sense and respond to a variety of stimuli by activating different signaling pathways. The Wnt pathway is important in embryonic development as it controls cell division and specialization. In adults, dysregulation of this pathway can lead to aberrant cell division and cancer. This proposal will use structural biology to look at several steps of this pathway at the molecular level. This will provide answers on how this pathway works and will lead to new ways to target it therapeutically."
2043411,Dr Ayesha Shah,Investigator Grants,From Bedside to Bench: Improving Clinical Care Using Insights from the Small Intestinal Microbiome.,The University of Queensland,1/1/2026,250000," Small intestinal bacterial overgrowth (SIBO) is a condition where there are too many bacteria in the small intestine which can negatively impact many diseases. It is common in people with functional gut disorders (e.g. irritable bowel syndrome) causing similar symptoms. Current tests are unreliable, so treatment is often based on trial and error. My research aims to develop better techniques for diagnosing SIBO and create new therapies to modify the gut bacteria to treat or even eradicate SIBO. "
2043417,Assoc Prof Jingwei Hou,Investigator Grants,Wearable and High-Sensitivity X-ray Detectors for Managing Respiratory Diseases in Infants and Children,The University of Queensland,1/1/2026,1623700,"X-ray imaging is the gold standard for diagnosing paediatric respiratory infections, but it carries significant risks, including high radiation exposure and discomfort during tomography. This project seeks to develop sensitive, flexible, and wearable X-ray detectors using my innovative hybrid quantum dot glass materials, featuring a record high light conversion efficiency. The new technology promises greater accuracy, enhanced comfort, and reduced risk for paediatric X-ray imaging."
2043452,Prof Clara Chow,Investigator Grants,Innovation to impact in cardiovascular disease prevention and healthcare,University of Sydney,1/1/2026,3014025,"CVD is the leading cause of mortality & morbidity, yet there are large gaps in management.  In the next 5 years, I aim to conduct large scale research studies on innovative interventions to prevent cardiovascular disease across 3 areas: 1) E-prevention for CVD, 2) Remote care for patients with implanted cardiac devices & 3) Single pill ultra-low dose combination treatment for hypertension. The goal is to apply these innovations to transform how we deliver healthcare for the future."
2043453,Prof Margarita Moreno-Betancur,Investigator Grants,Novel methods for causal analyses of longitudinal data to inform interventions for improving health,Murdoch Children's Research Institute,1/1/2026,2818905,"Modern health research studies are enriched with data from various sources (e.g. biosamples) that could in principle provide key insights into disease causality. However, the analytical tools and expertise for realising this potential are lacking. This program aims to address these gaps by developing, disseminating, and applying novel data analysis methods, and building national biostatistical capacity. Outcomes will be urgently needed tools, expertise and new knowledge for improving health. "
2043464,Prof Denise Doolan,Investigator Grants,Next-generation therapeutics for malaria designed using systems-based approaches,The University of Queensland,1/1/2026,3014025," This program aims to transform health with a system-based interdisciplinary approach to develop effective therapeutics against malaria that will save lives, enhance quality of life, and boost economic growth. It will generate knowledge to predict personalised immunity at the individual and population level, inform host-directed therapies, develop a T cell inducing vaccine from genomic sequence information, and provide a disease-agnostic framework for solutions to other complex diseases. "
2043504,Prof Jason Roberts,Investigator Grants,Translating precision antibiotic dosing into better outcomes for severe infections,The University of Queensland,1/1/2026,2381830,"Patients with severe infections are prone to antimicrobial failure caused by suboptimal drug dosing. My research program represents a game-changer with the use of precision antimicrobial dosing to rapidly kill the pathogen, based on both pathogen susceptibility and target drug concentrations (pharmacokinetics [PK]) in the patient. My VISION is to prevent AMR with precision antimicrobial dosing in infected patients and save lives"
