Grant ID,MRFF Initiative,Grant Opportunity,Organisation,Organisation Type,"State 
or Territory ",Project Name,Project Summary,"Chief Investigator 
A/Project Lead",Chief Investigator Team,Type of Grant,Contract Start Date,Contract End Date,"Field(s) of Research
(DIVISION / Group / Field)",Broad Research Area, Total Grant Value ,Date Uploaded^
MRF1200214,Emerging Priorities and Consumer Driven Research,2019 Endometriosis Research,Deakin University,University,VIC,"A Randomized Controlled Trial Comparing Yoga, Cognitive Behaviour Therapy and Education to Improve Quality of Life and Reduce Healthcare Costs in Endometriosis","Endometriosis is a chronic inflammatory disease afflicting 700 000 Australians. In addition to pain, common symptoms include fatigue, anxiety, depression, and poor quality of life (QoL). Consistent with the National Action Plan for Endometriosis (NAPE) focus on improving QoL, this project will examine two mind-body interventions designed to enhance the mind's positive impact on the body in order to improve patient QoL. This trial aims to use gold-standard methodology to test whether one of the most popular treatments for chronic pain (yoga), and the most prescribed psychological therapy for chronic pain (to cognitive behaviour therapy), really do address the debilitating symptoms of endometriosis, to potentially alleviate the suffering of thousands of Australians.",Doctor Subhadra Evans,"Doctor Subhadra Evans, Associate Professor Antonina Mikocka-Walus, Associate Professor Jennifer Watts, Professor Adrian Esterman, Doctor David Skvarc",Targeted competitive,1/6/2020,31/12/2025,"MEDICAL AND HEALTH SCIENCES, Other medical and health sciences, Medical and health sciences not elsewhere classified",Clinical Medicine and Science Research,893981.25,Prior to 03/09/2024
MRF1200392,Emerging Priorities and Consumer Driven Research,2019 Endometriosis Research,Monash University,University,VIC,Creating an evidence base for clinical care: A randomized controlled study examining the efficacy of the low FODMAP diet for the relief of gastrointestinal symptoms in endometriosis,"Endometriosis is a common condition affecting up to 10% of women of reproductive age. Gastrointestinal (GI) complaints are common, affecting up to 90% of patients. There is large overlap between GI symptoms seen in irritable bowel syndrome (IBS) and endometriosis. Effective therapies are available for patients with IBS, with the low FODMAP diet, pioneered by our center, now first line. However, there is limited information as to whether it is helpful in patients suffering from similar GI symptoms secondary to endometriosis. The current project seeks to explore: 1) if low FODMAP diet therapy is effective in treating GI symptoms associate with endometriosis, 2) the potential role gut and vaginal microbiota plays in GI symptoms associated with endometriosis, 3) clinical, physiological and psychological parameters in patients with endometriosis associated with the presence of GI symptoms.",Associate Professor Jane Muir,"Associate Professor Jane Muir, Doctor Rebecca Burgell, Doctor Jane Varney, Doctor Judith Moore, Professor Mark Morrison, Professor Jane Fisher",Targeted competitive,1/6/2020,31/12/2025,"MEDICAL AND HEALTH SCIENCES, Nutrition and dietetics, Nutrition and dietetics not elsewhere classified",Clinical Medicine and Science Research,948619.2,Prior to 03/09/2024
MRF1201159,Emerging Priorities and Consumer Driven Research,2019 Endometriosis Research,Murdoch Children's Research Institute,Medical Research Institute,VIC,"Long STEPPP-A Longitudinal Study of Teenagers with Endometriosis, Period and Pelvic Pain in Australia to identify early risk factors, educational and management strategies that will lead to optimal health outcomes and appropriate health utilisation","The Longitudinal Study of Teenagers with Endometriosis, Period and Pelvic Pain (LongSTEPPP-Australia) is novel project and the first of its kind due to its focus on adolescents, lending to the possibility of prevention of endometriosis through controlling pelvic pain and menstrual problems. There is limited education to ensure teenagers seek help for their period problems. This study intends to clarify through co-design the factors that are most important to teenagers; examine the impact of the various educational strategies by monitoring those areas where these programs are occurring; explore the psychosocial factors impacting on presentation and monitor management and health utilisation of teens presenting with endometriosis, period and pelvic pain to adolescent gynaecology units in public hospitals around Australia.",Professor Sonia Grover,"Professor Sonia Grover, Professor Harriet Hiscock, Professor Catherine Bennett, Doctor Courtney Munro, Professor Andrew Chanen, Doctor Rebecca Deans, Doctor Julie Abimanyi-Ochom",Targeted competitive,1/6/2020,31/5/2026,"MEDICAL AND HEALTH SCIENCES, Paediatrics and reproductive medicine, Obstetrics and gynaecology",Clinical Medicine and Science Research,1963118,Prior to 03/09/2024
MRF1199715,Emerging Priorities and Consumer Driven Research,2019 Endometriosis Research,University of Melbourne,University,VIC,Improving diagnosis and treatment of endometriosis,"We aim to improve the quality of life for all women living with endometriosis through research-driven improvements to diagnosis and treatment. Our proposal has 3 major themes, (1) Better diagnosis of initial and recurrent endometriosis, (2) Improved outcomes for women with endometriosis-related pain, and (3) Development of evidence-based pathways to treat endometriosis-related infertility. The three themes contain a powerful mixture of clinical trials and laboratory based discovery research that will lead to improved outcomes in conjunction with a better understanding of factors that lead to the development and progression of endometriosis.",Professor Peter Rogers,"Professor Peter Rogers, Associate Professor Martin Healey, Doctor Sarah Holdsworth-Carson, Doctor Jacqueline Donoghue, Associate Professor Helena Frawley, Doctor Claudia Cheng",Targeted competitive,1/6/2020,31/5/2026,"MEDICAL AND HEALTH SCIENCES, Paediatrics and reproductive medicine, Obstetrics and gynaecology",Clinical Medicine and Science Research,3929233.5,Prior to 03/09/2024
MRF1199785,Emerging Priorities and Consumer Driven Research,2019 Endometriosis Research,The University of Queensland,University,QLD,"Genetic variants, Early Life exposures, and Longitudinal Endometriosis Symptoms study (GELLES)","The Genetic variants, Early Life exposures, and Longitudinal Endometriosis symptoms Study (GELLES) takes an innovative approach to address the evidence gaps and the limitations of previous Endometriosis studies. GELLES will compare women with and without endometriosis and identify the combinations of factors and patterns of symptoms linked with increased risk of endometriosis and longer time to diagnosis. The study will produce high quality evidence and provide new insights on the causal pathways and aetiology of this disease. GELLES researchers will work with end-users to ensure the new knowledge benefits consumers, including improved information on endometriosis, a new clinical tool for health professionals to assess the risk of endometriosis, and clinical guidelines to reduce the time required for diagnosis and accessing treatment.",Professor Gita Mishra,"Professor Gita Mishra, Doctor Ingrid Rowlands, Doctor Sally-Anne Mortlock, Professor Jenny Doust, Professor Annette Dobson, Doctor Marina Kvaskoff",Targeted competitive,1/6/2020,31/5/2025,"MEDICAL AND HEALTH SCIENCES, Public health and health services, Epidemiology",Public Health Research,1856540,Prior to 03/09/2024
MRF1200644,Emerging Priorities and Consumer Driven Research,2019 Mental Health Pharmacogenomics,The Council of the Queensland Institute of Medical Research,Medical Research Institute,QLD,Australian Pharmacogenomics Diversity Project: Examining the evidence and improving the performance of pharmacogenomics in the Australian context,"Psychiatric pharmacogenomic testing, if adopted in Australia, must be available to all Australians. Frequencies and effects of DNA variants vary between ethnic groups and the evidence-base is lacking to guide treatment decisions in Australian Aboriginal and Torres Strait Islander populations and the major non-European migrant groups within the Australia community. Our proposal addresses this lack of evidence and aims to increase the utility and efficacy of these tests for all Australians.",Professor Sarah Medland,"Professor Sarah Medland, Professor Nicholas Martin, Mr Gregory Pratt, Professor Naomi Wray, Professor Ian Hickie, Associate Professor Maree Toombs, Associate Professor Louisa Gordon, Associate Professor Lucia Colodro-Conde, Doctor Enda Byrne, Associate Professor Penelope Lind",Targeted competitive,1/6/2020,31/5/2026,"MEDICAL AND HEALTH SCIENCES, Clinical sciences, Psychiatry (incl. psychotherapy)",Clinical Medicine and Science Research,1371571.3,Prior to 03/09/2024
MRF1200060,Emerging Priorities and Consumer Driven Research,2019 Mental Health Pharmacogenomics,University of Melbourne,University,VIC,The PRESIDE (PhaRmacogEnomicS In Depression) Trial: an RCT of pharmacogenomically-informed prescribing of antidepressants on depression outcomes in patients with major depressive disorder in primary care,"Up to a half of patients with depression do not respond to their first antidepressant. This is partly due to genetic variation in the way people metabolise antidepressants. In this trial we will test the effect of using a genetic test to guide the choice and dose of antidepressant, comparing it with current best-practice prescribing. We will measure the effect of using this genetic test on improvement in symptoms of depression, reduced side-effects from antidepressants and healthcare costs.",Professor Jon Emery,"Professor Jon Emery, Professor Jane Gunn, Doctor Chad Bousman, Doctor Patty (Panagiota) Chondros, Associate Professor Victoria Palmer, Professor Cathrine Mihalopoulos, Professor Timothy Chen, Doctor Thomas Polasek, Doctor Melanie Galea",Targeted competitive,1/6/2020,31/8/2025,"MEDICAL AND HEALTH SCIENCES, Public health and health services, Primary health care",Clinical Medicine and Science Research,1390401,Prior to 03/09/2024
MRF1200428,Emerging Priorities and Consumer Driven Research,2019 Mental Health Pharmacogenomics,University of New South Wales,University,NSW,A multifaceted approach to the pharmacogenomic signatures of bipolar disorder for improving treatment outcomes,Bipolar Disorder is a debilitating psychiatric condition for which treatment response and clinical course is highly variable. Advanced genomics and biomarker analysis of patients with linked health record data over 15 years will address key knowledge gaps in treatment response and long-term treatment outcomes of this chronic condition. This project will enhance capacity for personalised medicine and classify subgroups for improved treatment to reduce the significant burden of this disease.,Associate Professor Janice Fullerton,"Associate Professor Janice Fullerton, Professor Melissa Green, Professor Peter Schofield, Doctor Claudio Toma",Targeted competitive,1/6/2020,31/5/2026,"BIOLOGICAL SCIENCES, Genetics, Genomics",Basic Science Research,1009768,Prior to 03/09/2024
MRF1200000,Emerging Priorities and Consumer Driven Research,2019 Mental Health Pharmacogenomics,University of New South Wales,University,NSW,An Australian Multicentre Double-Blinded Randomised Controlled Trial of Genotype-guided versus Standard Psychotropic Therapy in Moderately-to-Severely Depressed Patients Initiating Pharmacotherapy,"Current drug treatment for depression is ineffective due to its one-size-fits-all approach. This project investigates the clinical and economic benefits of using individual pharmacogenomics and neuroimaging results to guide medication selection. Through artificial intelligence, it aims to combine pharmacogenomics and other datasets, to develop a user-friendly decision support tool that can be used at the bedside.",Doctor Kathy Wu,"Doctor Kathy Wu, Professor Paul Fitzgerald, Professor Deborah Schofield, Professor Stuart Grieve, Professor Anthony Rodgers, Professor Anthony Harris, Doctor Rupendra Shrestha, Professor Sean Hood, Professor Timothy Usherwood, Doctor Fatemeh Vafaee",Targeted competitive,1/6/2020,31/5/2026,"MEDICAL AND HEALTH SCIENCES, Other medical and health sciences, Medical and health sciences not elsewhere classified",Clinical Medicine and Science Research,2954040.5,Prior to 03/09/2024
MRF1200120,Emerging Priorities and Consumer Driven Research,2019 Ovarian Cancer Research,Griffith University,University,QLD,"A Phase II trial evaluating feasibility, safety and efficacy of an individually-tailored exercise intervention during chemotherapy for recurrent ovarian cancer","There is a pressing need to determine if exercise therapy is relevant for cancer cohorts with low-survival and high cancer- and treatment-related morbidity, such as is the case for women with recurrent ovarian cancer. This phase II trial will evaluate the feasibility, safety and effects of an exercise intervention during chemotherapy for recurrent OC, and in doing so will determine whether exercise is effective at improving the lives of those with advanced cancer.",Professor Sandra Hayes,"Professor Sandra Hayes, Professor Andreas Obermair, Professor Monika Janda, Professor Elizabeth Eakin, Doctor Catherine Shannon, Doctor Jeffrey Goh, Associate Professor Vanessa Beesley, Doctor Dimitrios Vagenas, Doctor Rosalind Spence",Targeted competitive,1/6/2020,31/12/2024,"MEDICAL AND HEALTH SCIENCES, Oncology and carcinogenesis, Oncology and carcinogenesis not elsewhere classified",Health Services Research,884172.32,Prior to 03/09/2024
MRF1200102,Emerging Priorities and Consumer Driven Research,2019 Ovarian Cancer Research,Monash University,University,VIC,Measuring adherence to best practice guidelines for the management of ovarian cancer in Australia to determine the extent to which variation in care influences clinical and patient-reported outcomes,"That there is variation in the quality of care provided to women diagnosed with ovarian cancer in Australia is widely known. However, the impact of variation in care on key patient outcomes is unknown. A clinical quality registry such as the newly established National Gynae-Oncology Registry can not only monitor how well clinical management aligns with agreed ‘best practice’, but also can help drive changes in clinical practice to improve both clinical and patient-reported outcomes.",Professor John Zalcberg,"Professor John Zalcberg, Associate Professor Robert Rome, Mrs Janice Antony, Professor Penelope Schofield, Associate Professor Alison Brand, Professor Gary Richardson, Associate Professor Rhonda Farrell, Professor Sue Evans, Ms Suzanne Hegarty, Associate Professor Arul Earnest",Targeted competitive,1/6/2020,30/11/2025,"MEDICAL AND HEALTH SCIENCES, Public health and health services, Public health and health services not elsewhere classified",Health Services Research,3520935,Prior to 03/09/2024
MRF1199749,Emerging Priorities and Consumer Driven Research,2019 Ovarian Cancer Research,Monash University,University,VIC,"Towards A New Era in Granulosa Cell Tumour Research: Patient Driven Outcomes, Genomics, Diagnostics & Therapeutics",Granulosa cell tumours (GCT) of the ovary are a unique subset of ovarian cancers which do not respond to conventional therapy. These studies will: i) characterise the patient experience; ii) identify mutations that lead to advanced disease which has a mortality of 80 percent; iii) characterise genes associated with advanced disease; iv) develop better diagnostics; and v) provide targeted approaches to treatment i.e. personalised medicine for women with GCT.,Professor Peter Fuller,"Professor Peter Fuller, Doctor Simon Chu, Professor Thomas Jobling, Professor Victoria White, Associate Professor David Powell, Professor John Silke, Ms Natasha Armour",Targeted competitive,1/6/2020,31/12/2025,"MEDICAL AND HEALTH SCIENCES, Oncology and carcinogenesis, Oncology and carcinogenesis not elsewhere classified",Clinical Medicine and Science Research,2218870,Prior to 03/09/2024
MRF1200503,Emerging Priorities and Consumer Driven Research,2019 Ovarian Cancer Research,The Council of the Queensland Institute of Medical Research,Medical Research Institute,QLD,"Ovarian cancer: investigating Variation in care and survival, Aetiology and Risk factors to Improve outcomes in Australia via National data linkage. The OVARIAN study","Many questions about ovarian cancer can only be answered with information from large and representative groups of women with ovarian cancer. We will capitalise on existing data that are routinely collected for healthcare and link these to create a data set with de-identified information for all women diagnosed with ovarian cancer in Australia and a comparable group of cancer-free women. This will allow us to answer questions about risk factors, diagnosis, variations in care and survival.",Professor Penelope Webb,"Professor Penelope Webb, Doctor Paul Cohen, Associate Professor Susan Jordan, Associate Professor Louisa Gordon, Associate Professor Katrina Spilsbury, Professor James Codde, Doctor Aime Powell, Associate Professor Peter Grant, Doctor Christopher Steer, Professor Colin Stewart",Targeted competitive,1/6/2020,31/5/2027,"MEDICAL AND HEALTH SCIENCES, Public health and health services, Public health and health services not elsewhere classified",Public Health Research,2707035.2,Prior to 03/09/2024
MRF1200264,Emerging Priorities and Consumer Driven Research,2019 Ovarian Cancer Research,University of Melbourne,University,VIC,High throughput discovery of synergistic drug combinations for patients with low-grade serous ovarian cancer,"Little is known about the best treatment strategies for women with low-grade serous ovarian cancers. We will systematically investigate novel drug combinations with a study of the key genetic determinants of response to these combinations in a large panel of patient-derived tumour cells. This innovative project is the first of its kind, and will highlight new treatment opportunities, and create immediate clinical drug development opportunities to significantly improve patient outcomes.",Doctor Dane Cheasley,"Doctor Dane Cheasley, Associate Professor Kaylene Simpson, Professor Neville Hacker",Targeted competitive,1/6/2020,31/5/2025,"MEDICAL AND HEALTH SCIENCES, Oncology and carcinogenesis, Molecular targets",Basic Science Research,1109189,Prior to 03/09/2024
MRF1199620,Emerging Priorities and Consumer Driven Research,2019 Ovarian Cancer Research,The University of Newcastle,University,NSW,Australian Program for Drug Repurposing for Treatment Resistant Ovarian Cancer Treatment,"Drug repurposing is a method for identifying new uses for drugs that are outside the scope of the original medical use. We are proposing one of the most ambitious approaches to developing new ovarian cancer treatments ever undertaken by establishing the Australian program of drug repurposing for treatment resistant ovarian cancer. This will be a world first large-scale program of drug repurposing for ovarian cancer delivered by scientists, clinicians and ovarian cancer consumers working together.",Associate Professor Nikola Bowden,"Associate Professor Nikola Bowden, Professor Jennifer Martin, Professor Deborah Marsh, Associate Professor Caroline Ford, Professor David Thomas, Professor Richard Head, Doctor Michelle Wong-Brown, Ms Gill Stannard, Doctor Penny Reeves",Targeted competitive,1/6/2020,31/5/2026,"MEDICAL AND HEALTH SCIENCES, Pharmacology and pharmaceutical sciences, Clinical pharmacology and therapeutics",Clinical Medicine and Science Research,2693815,Prior to 03/09/2024
MRF1199422,Emerging Priorities and Consumer Driven Research,2019 Ovarian Cancer Research,The University of Queensland,University,QLD,A new radio-imaging agent to guide targeted therapy for epithelial ovarian cancer,"We aim to revolutionise care of advanced ovarian cancer. We will further develop a new agent, 10D7, that has dual functions for diagnosing and treating ovarian cancer. We discovered and have patented this unique agent and, in this study, will label it with a radioactive particle to determine its biodistribution in patient tumours and normal organs, and its safety. The study results have significant potential to increase options for advanced ovarian cancer not responsive to current treatments.",Professor Roslyn Francis,"Professor Roslyn Francis, Professor John Hooper, Professor Trent Munro, Associate Professor David Wyld, Associate Professor Lewis Perrin, Doctor Rohan Lourie, Professor Stephen Rose, Doctor Simon Puttick",Targeted competitive,1/6/2020,31/8/2026,"MEDICAL AND HEALTH SCIENCES, Oncology and carcinogenesis, Cancer diagnosis",Clinical Medicine and Science Research,1893306.2,Prior to 03/09/2024
MRF1199984,Emerging Priorities and Consumer Driven Research,2019 Ovarian Cancer Research,The University of Queensland,University,QLD,"Ovarian cancer early detection, monitoring and therapeutic intervention using extracellular vesicles","This project addresses the problems of late diagnosis, prediction of sensitivity or resistance to chemotherapy, and non-specific delivery of therapeutic agents to the tumour cells, in patients with ovarian cancer-a critical challenge to global health. Information contained in these exosomes are reflective of the cellular alterations associated with cancer. This proposal will investigate the utility of exosomes as diagnostic markers, as well as novel anti-metastatic molecule delivery systems.",Professor Carlos Salomon,"Professor Carlos Salomon, Doctor Amirali Popat, Doctor Muhammad Shiddiky, Professor Gregory Rice, Professor Yusuke Yamauchi",Targeted competitive,1/6/2020,31/5/2026,"MEDICAL AND HEALTH SCIENCES, Oncology and carcinogenesis, Cancer diagnosis",Clinical Medicine and Science Research,1213467.5,Prior to 03/09/2024
MRF1201008,Global Health,2019 Tackling Antimicrobial Resistance and Drug Resistant Tuberculosis in Pacific Island Countries,Burnet Institute,Medical Research Institute,VIC,Comprehensive community-based solutions to reduce MDR transmission in a high incidence setting,"Daru Island in Papua New Guinea (PNG) is the site of an unprecedented outbreak of drug-resistant tuberculosis. Our team has been working in partnership with PNG institutions and the local community with Australian government support to respond to this pressing health issue. Our proposed research seeks to implement a community-wide, comprehensive intervention to detect, treat and prevent tuberculosis and to determine its effectiveness in reducing the severity of this drug-resistant outbreak.",Professor Stephen Graham,"Professor Stephen Graham, Doctor Suman Majumdar, Doctor Philipp DuCros, Doctor Gene Huang, Mr Geoffrey Chan, Doctor Jane Greig, Professor Leanne Robinson, Doctor Rowan Martin-Hughes",Targeted competitive,1/6/2020,30/11/2025,"MEDICAL AND HEALTH SCIENCES, Public health and health services, Preventive medicine",Public Health Research,2508422.77,Prior to 03/09/2024
MRF1200856,Global Health,2019 Tackling Antimicrobial Resistance and Drug Resistant Tuberculosis in Pacific Island Countries,University of Melbourne,University,VIC,Rapid detection of drug resistant tuberculosis using real-time sequencing,"One of the major challenges in combatting the tuberculosis epidemic in Papua New Guinea is rapid, affordable identification of drug-resistance in order to ensure that appropriate treatment regimen is established early in the course of the disease. Unnecessary use of the latest line of anti-tuberculosis WHO class 5 drugs leads to the development of drug resistance, while use of drugs to which the bacterium is resistant leads to prolonged treatment and exposure of family members, leading to greater rates of transmission and increased mortality. Currently, rapid identification of rifampicin resistance has been made possible in-country through Gene-Xpert; however full characterisation of drug resistance is currently done out-of-country and takes months before results are known. It is possible to generate highly accurate predictions of drug resistance for many TB drugs from whole-genome sequencing; however, this is typically achieved by first culturing the bacterial isolate over several weeks. Real-time nanopore metagenomic sequencing is promising, but is prohibitively expensive due to the very small proportion of mycobacterial to human DNA in sputum. We have developed nanoparticles which can enrich mycobacterium directly from biological sample. We propose to use these nanoparticles in conjunction with real-time nanopore sequencing and streaming bioinformatics to characterise drug resistance in Papua New Guinea.",Professor Lachlan Coin,"Professor Lachlan Coin, Doctor Rendi Moke, Doctor Arnold Bainomugisa, Doctor Mark Blaskovich, Doctor Sanjaya KC, Professor Matthew Cooper",Targeted competitive,1/6/2020,31/7/2025,"MEDICAL AND HEALTH SCIENCES, Medical microbiology, Medical bacteriology",Clinical Medicine and Science Research,784966.72,Prior to 03/09/2024
MRF1200970,Global Health,2019 Tackling Antimicrobial Resistance and Drug Resistant Tuberculosis in Pacific Island Countries,University of Melbourne,University,VIC,Preparing Fiji for Pathogens with Critical Antimicrobial Resistance,"This project will assess the capacity for hospitals in Fiji to manage outbreaks of pathogens with critical antimicrobial resistance. Baseline assessments will be made, then a program will be developed and implemented to ensure that hospitals are ready for these extreme challenges. The program will include use of cutting edge technology such as microbial genomics linked to epidemiology to help understand and contain any transmission of pathogens.",Professor Kirsty Buising,"Professor Kirsty Buising, Professor Ben Howden, Professor Karin Thursky, Professor Richard Strugnell, Associate Professor Noleen Bennett, Doctor Ravi Naidu, Associate Professor Caroline Marshall, Associate Professor Leon Worth, Ms Ashodra Gautam, Ms Courtney Lane",Targeted competitive,1/6/2020,31/12/2023,"MEDICAL AND HEALTH SCIENCES, Public health and health services, Public health and health services not elsewhere classified",Health Services Research,823055.25,Prior to 03/09/2024
MRF1200755,Global Health,2019 Tackling Antimicrobial Resistance and Drug Resistant Tuberculosis in Pacific Island Countries,University of Sydney,University,NSW,Pathway to the Elimination of Antibiotic-Resistant Tuberculosis in the Pacific,"Tuberculosis (TB) is the leading infectious disease killer on the planet. Urgent action is required to mitigate the threat of drug resistant (DR) TB in the Pacific, especially in TB hotspots such as Kiribati. Tarawa, the Kiribati capital, is one of the most densely populated places in the Pacific, with potential to act as a national/regional amplifier of the TB/DR-TB epidemic if TB transmission is not interrupted. Tarawa is uniquely placed to implement a bold ‘whole of population’ TB elimination strategy. The overall project aims are to: 1) evaluate the effect of a community-wide active case finding program upon TB transmission and case notification in Tarawa, 2) provide Pacific-wide training and mentoring to improve DR-TB care and prevention, and 3) model the longterm cost-effectiveness and impact of different population-based elimination strategies, using data from Tarawa and other Pacific settings to inform regional and global TB control policy.",Professor Barend Marais,"Professor Barend Marais, Emeritus Professor Warwick Britton, Professor Guy Marks, Professor Gregory Fox, Ms Amanda Christensen, Associate Professor Bernadette Saunders, Associate Professor James Trauer, Doctor Kerri Viney",Targeted competitive,1/6/2020,31/5/2026,"MEDICAL AND HEALTH SCIENCES, Medical microbiology, Medical bacteriology",Clinical Medicine and Science Research,4248555.26,Prior to 03/09/2024
MRF1201471,Indigenous Health Research Fund,2019 Indigenous Health Research,South Australian Health and Medical Research Institute Limited,Medical Research Institute,SA,Ngalaiya Boorai Gabara Budbut - supporting the heads and hearts of children: Responsive mental health care for Aboriginal and Torres Strait Islander adolescents,"Our work has established that there are two key barriers to quality mental health care for Aboriginal adolescents: inadequate assessment of needs, and inadequate response. In response, this project will: i) formally validate culturally appropriate mental health assessment tools; ii) co-design a package of training and resources targeting care providers to promote timely and responsive care; iii) implement and evaluate this package of resources to inform a scalable model.",Professor Ngiare Brown,"Professor Ngiare Brown, Associate Professor Peter Azzopardi, Professor Debra Rickwood, Doctor Odette Pearson, Professor George Patton, Associate Professor Mark Wenitong, Professor Jane Fisher",Targeted competitive,1/6/2020,31/12/2024,"MEDICAL AND HEALTH SCIENCES, Public health and health services, Aboriginal and torres strait islander health",Health Services Research,1997344,Prior to 03/09/2024
MRF1201500,Indigenous Health Research Fund,2019 Indigenous Health Research,Flinders University,University,SA,Aboriginal Community-Led Diabetic Retinopathy Prevention: An Innovative Model of Eye Care for Understanding Risk and Early Detection,"Diabetic retinopathy (DR) is a common cause of blindness among Aboriginal communities. Incomplete understanding of who’s at risk, and poor access to screening and treatment programs is likely contributing. We will co-design a model of eye care that considers specific Aboriginal community need, identify eye care gaps, explore what factors cause DR blindness, implement new strategies that increase DR screening and treatment rates, and support Aboriginal people/systems that make this possible.",Professor Jamie Craig,"Professor Jamie Craig, Doctor Tim Henderson, Doctor Natasha Howard, Associate Professor John Landers, Associate Professor Johan Verjans, Doctor Justin Canuto, Mr Kurt Towers, Doctor Stewart Lake, Ms Kerri Reilly, Mr Jose Estevez",Targeted competitive,1/6/2020,31/12/2025,"MEDICAL AND HEALTH SCIENCES, Public health and health services, Aboriginal and torres strait islander health",Public Health Research,1436870.8,Prior to 03/09/2024
MRF1201365,Indigenous Health Research Fund,2019 Indigenous Health Research,Macquarie University,University,NSW,Improving care pathways for Otitis Media in Aboriginal children (0-12): A case study approach,"Persistent and pervasive middle ear disease in Aboriginal children has life-long effects on health, education, employment and social and emotional well-being. While considerable funding, goodwill and the fundamental building blocks have been in place for many years, the success of programs has been limited. The study aims to explore the reasons for this, and co-design, implement and evaluate an alternative approach to addressing this major public health problem.",Professor Catherine McMahon,"Professor Catherine McMahon, Professor Elizabeth Pellicano, Mr Boe Rambaldini, Doctor Kylie Gwynne, Ms Samantha Harkus, Doctor Leanne Holt, Professor Harvey Coates, Doctor Neil Orr, Professor Andrew Smith, Doctor Liesa Clague",Targeted competitive,1/6/2020,31/5/2026,"MEDICAL AND HEALTH SCIENCES, Other medical and health sciences, Medical and health sciences not elsewhere classified",Public Health Research,1961473.9,Prior to 03/09/2024
MRF1199854,Indigenous Health Research Fund,2019 Indigenous Health Research,The University of Queensland,University,QLD,What Matters to Aboriginal and Torres Strait Islander Adolescents’ Wellbeing: Developing a wellbeing measure for adolescents (WM2A Project),"This project will fill a critical gap in understanding the factors that are important to Indigenous adolescents’ wellbeing. Based on these views and experiences, we will develop a national culturally-relevant wellbeing measure. This new measure can be used in a range of mental health, health and education settings to increase transparency, responsiveness and relevance of clinical and health policy decision making to improve adolescent mental health and wellbeing.",Professor Gail Garvey,"Professor Gail Garvey, Associate Professor Michelle Dickson, Professor Kirsten Howard, Professor Yvonne Cadet-James, Professor Roxanne Bainbridge, Doctor Darren Garvey, Professor Joan Cunningham, Professor Patrick McGorry, Doctor Anna Williamson, Doctor Tamara Butler",Targeted competitive,1/6/2020,30/11/2025,"MEDICAL AND HEALTH SCIENCES, Public health and health services, Aboriginal and torres strait islander health",Public Health Research,1896841.3,Prior to 03/09/2024
MRF1200005,Indigenous Health Research Fund,2019 Indigenous Health Research,Monash University,University,VIC,Reducing the burden of chronic kidney disease in the indigenous population - the PROPHECY CKD study,"Kidney disease is a major clinical problem in the Indigenous population particularly those with diabetes who often require dialysis or transplantation. This grant will further define the risk and rate of progression of kidney disease in a well characterised indigenous population from South Australia. Furthermore, promising new drugs already shown to protect the kidney in other populations will be tested in order to reduce the burden of kidney disease in Indigenous Australians",Professor Mark Cooper,"Professor Mark Cooper, Ms Kim Morey, Professor Paul Zimmet, Mr Ricky Mentha, Professor Karin Jandeleit-Dahm, Professor Assam El-Osta, Professor Stephen McDonald",Targeted competitive,1/6/2020,31/5/2024,"MEDICAL AND HEALTH SCIENCES, Clinical sciences, Nephrology and urology",Clinical Medicine and Science Research,1995895,Prior to 03/09/2024
MRF1201077,Indigenous Health Research Fund,2019 Indigenous Health Research,University of Sydney,University,NSW,"ACCESS: Aboriginal Community Controlled Ear health Support System: developing, embedding and evaluating best practice models of care","ACCESS is the result of a 16 year partnership between Aboriginal Community Controlled Health Services, health researchers, Aboriginal children, families and communities in NSW. ACCESS will enable the development, embedding and evaluation of a culturally safe Aboriginal Child Health Navigator service. This will form part of a comprehensive ear-health prevention and treatment model of care designed to be transferable to other Aboriginal services and translatable to other health conditions.",Associate Professor Hasantha Gunasekera,"Associate Professor Hasantha Gunasekera, Mr Darryl Wright, Associate Professor Susan Woolfenden, Mr Jamie Newman, Ms Sandra Bailey, Doctor Kathleen Falster, Professor Emily Banks, Professor Jonathan Craig, Professor Juanita Sherwood, Professor Armando Teixeira-Pinto",Targeted competitive,1/6/2020,31/5/2025,"MEDICAL AND HEALTH SCIENCES, Paediatrics and reproductive medicine, Paediatrics",Clinical Medicine and Science Research,887186,Prior to 03/09/2024
MRF1201404,Indigenous Health Research Fund,2019 Indigenous Health Research,University of New South Wales,University,NSW,Enabling Dads and Improving Indigenous Adolescent Mental Health,"If men feel informed and empowered in their parenting, this will have a beneficial effect on the mental health of their adolescent children. Our aim is to apply a manualised, empirically rigorous and sustainable parenting intervention for Aboriginal and Torres Strait Islander men with the focus on improving the mental health of adolescents. We will test our ground-breaking intervention in 5 remote Aboriginal communities, where there is an urgent need to support adolescent mental health.",Professor Susan Rees,"Professor Susan Rees, Mr Lyndon Reilly, Doctor Mick Adams, Professor Derrick Silove",Targeted competitive,1/6/2020,30/11/2024,"MEDICAL AND HEALTH SCIENCES, Public health and health services, Aboriginal and torres strait islander health",Public Health Research,1684560,Prior to 03/09/2024
