ID,Manual_Sleep_Topic,Funding_body,Scheme,Organisation,Investigators,Date,Funding,Summary
"DP200102241",no,ARC,"ARC Discovery Projects","Macquarie University","Prof Genevieve McArthur; Prof Jennifer Hudson; Prof Viviana Wuthrich; Prof Mark Boyes; Ms Mandy Nayton; Adj/Prof Minna Torppa; Prof Lucy Bowes",01-Jan-0020,292154,"Understanding the link between reading impairments and emotional problems. This Project aims to understand why children with reading impairments are at increased risk for emotional problems. By integrating the statistical power of large-scale longitudinal studies with the causal testing power of intervention case studies, it seeks to fast-track the development of a comprehensive evidence-based theory of the mechanisms linking reading impairments and emotional problems. The outcomes will pave the way for future diagnosis and treatment of concomitant reading and emotional difficulties in children. These outcomes improve our capacity to reduce the incidence of two common problems that limit the life success of Australian children - poor literacy and poor emotional health."
"DP200102243",no,ARC,"ARC Discovery Projects","Swinburne University of Technology","Dr Kunal Mooley; Prof Adam Deller; Prof Ehud Nakar",01-Jan-0020,366872,"AIM-GWM: Afterglow Imaging and Modelling of Gravitational-Wave Mergers. This project aims to capitalise on the dawn of the era of gravitational wave astronomy by studying the radio afterglows that result from gravitational wave merger events in minute detail. By comparing ultra-high resolution images to sophisticated computational models, we anticipate recovering information about the merger events that cannot be obtained from the gravitational wave data alone. In doing so, we expect new insights into not just of the extreme and unique physics in the aftermath of a violent neutron star merger, but also about the fundamental nature of the Universe, namely the speed at which it is expanding. This knowledge will provide significant benefits to astronomers studying the Universe at all wavelengths."
"DP200102248",no,ARC,"ARC Discovery Projects","University of Sydney","Prof Rob Atkin; Prof Gregory Warr; Prof Susan Perkin; Prof Karen Edler",01-Jan-0020,905231,"Nanostructured Ionic-Molecular Hybrid Liquids. This project aims to produce a new class of green, economical, non-toxic, low volatility, designer solvents from mixtures of one or more molecular components, and ionic liquid-inspired salts. By manipulating the intermolecular forces between components of these nanostructured ionic molecular ""hybrid liquids"" (HLs), we will develop new understanding of how liquid structure arises from  the nano- to the colloidal and even micro-scale. HLs will enable the development novel complex fluids, which are liquids containing interacting particles, polymers, and/or surfactants. Lubricants developed from HL based complex fluids will act as a “test-bed” application for the new understanding this project will engender, towards use of HLs in diverse areas."
"DP200102252",no,ARC,"ARC Discovery Projects","Central Queensland University","Prof Mengjie Zhang; Prof Brijesh Verma",01-Jan-0020,505420,"Deep Learning Architecture with Context Adaptive Features for Image Parsing. This project aims to develop a novel deep learning network architecture with contextual adaptive features for image parsing that can improve the object detection accuracy in real-world applications. A number of innovative methods for deep learning, contextual features and network parameter selection will be developed and investigated. The impact of the proposed architecture and features will be improved object-detection accuracy and advances in deep learning network architecture for image parsing. The intended outcomes are deep learning network architecture, contextual feature extraction techniques and network parameter optimisation techniques for image parsing."
"DE200101061",no,ARC,"ARC Discovery Early Career Researcher Award","University of Melbourne","Dr Andrew Morgan",01-Jan-0020,334229,"Single particle imaging: x-ray imaging of individual dynamic biomolecules. X-ray lasers produce powerful ultra-short pulses of light that can take temporal snap shots of small radiation-sensitive biological complexes. Thanks to superconducting technology, the next generation of x-ray lasers will be able to produce x-ray pulses at greater rates than ever before. But because of the sheer number of possible molecular configurations, these molecular movies will have only a small amount of data per frame, posing an enormous challenge for current imaging methods. I aim to meet this challenge by developing an innovative multi-conformational image reconstruction algorithm. This will provide a new window into the molecular dynamics of biological systems, the building blocks of life, and enable rational drug design."
"DP200102268",no,ARC,"ARC Discovery Projects","University of Queensland","Prof Jason Stokes; A/Prof Idriss Blakey; A/Prof Kevin Jack; Hon Prof Elliot Gilbert",01-Jan-0020,379065,"Programming anisotropy into responsive soft materials. The project aims to generate viscoelastic soft materials with programmable anisotropy using aqueous suspensions of colloidal rods that have tunable surface coatings. The project expects to generate new knowledge in the rheology and structural characteristics of this unique class of materials. A key innovation is the use of charge-directed polymer self-assembly to control colloidal interactions, suspension rheology and phase behaviour. The intended outcome is spatial control over the orientation of nanostructures, potentially mimicking the structural hierarchy found in nature. This should provide significant benefits to the creation of viscoelastic materials with complex rheology as well as structural, mechanical and optical heterogeneity."
"DP200102269",no,ARC,"ARC Discovery Projects","Macquarie University","A/Prof Shiyang Tang; A/Prof Ming Li; Prof Amy Cain; Prof Keisuke Goda",01-Jan-0020,442242,"Cell-Sort MultiTool: a Novel Platform for Bacterial Single-Cell Analysis  . This project aims to advance molecular understanding of antibiotic resistance in bacterial populations at the single-cell level, using an innovative approach integrating microfluidics, microscopy and genomics. The study of individual bacterial cell genetics is essential to provide fundamental insights into heterogeneous resistance, an important component of resistance development. Expected outcomes include a new platform technology for high-throughput multiplexed screening and improved knowledge of bacterial heterogeneity, informing antibiotic usage. This interdisciplinary project should yield significant benefits in society and economy by reducing healthcare costs, boosting health for Australians and commercialising advanced technologies. "
"DE200101064",no,ARC,"ARC Discovery Early Career Researcher Award","James Cook University","Dr Gergely Torda",01-Jan-0020,437999,"Exploring eco-evolutionary dynamics to predict the future of coral reefs. This project aims to predict the future of coral reefs in the rapidly changing climate of the Anthropocene by integrating state-of-the-art population genomics with evolutionary and ecological modelling. The project expects to describe pathways of genetic and non-genetic adaptation; and the strength and direction of connectivity of warm vs cold adapted coral populations - united in an eco-evolutionary framework. Expected outcomes address critical gaps in data and methodology that currently hinder our ability to reliably model the evolutionary and ecological dynamics of one of the most biologically diverse, socially and economically valuable and climatically vulnerable ecosystems of our planet, contributing to their science-based management. "
"DP200102273",no,ARC,"ARC Discovery Projects","University of Queensland","A/Prof Mary Jacquiline Romero; Prof Marco Tomamichel; Prof Barry Sanders; Dr Min-Hsiu Hsieh",01-Jan-0020,623892,Securing the quantum internet with high-dimensional quantum systems. This project aims to develop experimental and theoretical tools for increasing security in the future quantum networks. This project expects to generate new knowledge in the area of quantum communication by leveraging on the properties of high-dimensional quantum systems. Expected outcomes of this project include novel protocols for quantum secret sharing that are resistant to experimental noise and an experimental implementation of such protocols. This should provide significant benefits to the development of the quantum internet and its security.
"DP200102274",no,ARC,"ARC Discovery Projects","Australian National University","Prof Richard Hartley; A/Prof Miaomiao Liu",01-Jan-0020,410654,"3D Vision Geometric Optimisation in Deep Learning. This project aims to develop a methodology for integrating the algorithms of 3D Vision Geometry and Optimization into the framework of Machine Learning and demonstrate the wide applicability of the new methods on a variety of challenging fundamental problems in Computer Vision.  These include 3D geometric scene understanding, and estimation and prediction of human 2D/3D pose and activity. Applications of this technology are to be found in Intelligent Transportation, Environment Monitoring, and Augmented Reality, applicable in smart-city planning and medical applications such as computer-enhanced surgery. The goal is to build Australia's competitive advantage in the forefront of ICT research and technology innovation."
"DP200102284",no,ARC,"ARC Discovery Projects","Murdoch University","Prof Fang Xia; Prof Andrew Putnis; Prof Allan Pring; Prof Francois Renard",01-Jan-0020,463548,"Fluid-induced creation and decay of porosity and permeability in minerals. This project aims to investigate the role of hydrothermal fluids in the creation and decay of porosity and permeability in minerals. By developing new experimental techniques and undertaking experimental studies mimicking natural conditions, this project expects to generate knowledge of the fundamental relationships between fluid-mineral reactions, pore creation and decay, pore geometry and connectivity, and the mechanism for the formation of fluid inclusions. This should provide significant benefits such as a deeper understanding of the hydrothermal fluids flowing through tight rocks in the Earth’s crust to form orebodies, and provide a scientific basis to underpin the development of greener technologies for recovering natural resources."
"DP200102291",no,ARC,"ARC Discovery Projects","University of Adelaide","Prof Tara Pukala",01-Jan-0020,473831,"Revealing molecular detail of DNA triplexes to underpin antigene technology. Variations from the classic DNA double helix structure are proposed to play key roles in a range of cellular processes, particularly gene regulation. However, the biological function and therapeutic potential of these unusual DNA structures are poorly explored, since the fundamental molecular details which govern their formation and interactions with cellular machinery are not well described. This project aims to develop innovative methods to investigate, and importantly modulate, DNA and RNA triple helix assembly, specificity and molecular interactions. Resulting insights will underpin novel approaches to gene regulation, principally in the context of designing new antibacterial agents to address the antibacterial resistance problem."
"DP200102295",no,ARC,"ARC Discovery Projects","Monash University","Prof Martin Knapp; Prof David Johnston; Prof Michael Shields; A/Prof Nicole Black; Prof Anthony Harris; Prof Daniel Lubman",01-Jan-0020,540542,"Microeconometric Analysis of Socioeconomic Inequity in Mental Healthcare. The project aims to describe the extent of socioeconomic inequity in Australian mental healthcare use, identify the causal pathways that drive inequities, and conduct economic evaluations of programs aimed at increasing healthcare access. Microeconometric methods will be used to analyse large, longitudinal datasets that have not previously been used for this purpose. The project expects to provide a greater understanding of the barriers that people face in accessing treatment and how to overcome them. Such understanding is currently missing from academic literatures and policy inquiries. Ultimately, the research should aid in the design of cost-effective policies that improve health outcomes and that reduce inequities in treatment access."
"DP200102298",no,ARC,"ARC Discovery Projects","Macquarie University","Prof Dr Schahram Dustdar; Prof Michael Sheng; Prof Jian Yang; Dr Wei Zhang",01-Jan-0020,410654,"What Can You Trust in the Large and Noisy Web? This project will develop innovative techniques to efficiently and effectively distill truthful information from the inherently unreliable and large-scale Web environment, where misinformation has been widely regarded as a grand challenge for the next decade. The results of this project will not only maintain Australia’s leadership in this frontier research area, but also support many important applications that safeguard Australian people and economy such as emergency and disaster management and online healthcare. This project also serves as an excellent vehicle for the education and training of Australia’s next generation of scholars and engineers."
"DP200102299",no,ARC,"ARC Discovery Projects","Deakin University","Prof Arkady Zaslavsky; Prof Prem Prakash Jayaraman; Prof Seng Loke; Prof Christian Becker",01-Jan-0020,410654,"Adaptive context caching for fast concurrent access in Internet of Things. Context-awareness in Internet of Things (IoT) applications has profound impact on smartness, relevance, adaptability, dependability, performance and flexibility of such applications. This project will address the significant knowledge gap by investigating, proposing and validating a novel adaptive context caching scheme for fast near real-time access in multiple concurrent context queries coming from multiple and diverse IoT applications. The outcome will be a critical component of the IoT context management platform called Context-as-a-Service which is currently under development. The expected benefits will be far ranging and applicable to many domains including intelligent transportation, industrial internet and smart cities.."
"DP200102300",no,ARC,"ARC Discovery Projects","University of Adelaide","Prof Dr Hoon Sohn; Prof Andrei Kotooussov",01-Jan-0020,473831,"Theory and methods for evaluation of microstructural fatigue damage. The microstructural damage accumulation stage often consumes a significant portion of the total fatigue life of structures. However, its progressive evaluation is beyond the reach of safety inspection techniques which are currently employed to maintain structural integrity and prevent fatigue failures. This project aims to fill this gap by developing innovative methods for the measurement of material properties related to fatigue damage and establishing a new theory which links these properties to the remaining life of the structure. The project outcomes will facilitate the global trend towards predictive maintenance strategies, thereby generating substantial cost benefits, specifically, for high-value assets and ageing infrastructure."
"DP200102301",no,ARC,"ARC Discovery Projects","Curtin University","Prof Evan Gray; Prof Craig Buckley; Prof Mark Paskevicius; Dr Terry Humphries; Prof Dr Torben Jensen",01-Jan-0020,410654,"A thermal battery for dish-Stirling concentrated solar power systems. This project will investigate new high temperature (> 600 degrees Celsius) metal hydrides and carbonates suitable for thermochemical energy storage in dish-Stirling Concentrated Solar Power systems. The intended outcome is to discover cost effective, energy dense materials that are capable of operating over a 30 year life span in a solar power plant. This will enable 24/7 electricity production from renewable sources in a dispatchable solar platform, ideal for remote locations. The successful development of high temperature metal hydrides and carbonates will finally provide an energy storage solution to dish-Stirling Concentrated Solar Power systems, which will greatly reduce our reliance on fossil fuels to produce electricity."
"DE200101070",no,ARC,"ARC Discovery Early Career Researcher Award","Monash University","Prof David Frazier",01-Jan-0020,396266,"Consequences of Model Misspecification in Approximate Bayesian Computation. In almost any empirical application, the model the analyst is working with constitutes a misspecified description of the true process that has generated the data. While the method of Approximate Bayesian computation (ABC) is now a staple in the toolkit of the applied modeller, the impact of misspecification in ABC is unknown. This project aims to undertake a rigorous study into the behaviour of ABC under model misspecification. Expected outcomes include new theoretical results for ABC under misspecification and new methods capable of detecting/mitigating model misspecification. This project will provide significant benefits in all spheres where reliable, robust statistical inference methods are required in order to make reliable decisions.
"
"DP200102310",no,ARC,"ARC Discovery Projects","University of Queensland","Prof Gene Tyson; A/Prof Simon McIlroy",01-Jan-0020,630736,"Illuminating the microbial world using genome-based fluorescence microscopy. Our understanding of microbial diversity on Earth has been fundamentally changed by metagenomic characterisation of natural ecosystems. Traditional approaches for visualising  microbial communities are time-consuming and provide limited information about the identity of specific microorganisms. The proposed research aims to combine single cell genomics and super resolution microscopy for novel, high-throughput, genome-based techniques to visualise microorganisms, plasmids and viruses, with strain level specificity. The application of these highly scalable approaches will provide comprehensive and unprecedented insight into the fine-scale dynamics and evolution of environmentally and biotechnologically important microbial communities."
"DP200102316",no,ARC,"ARC Discovery Projects","University of Queensland","Prof Jorgen Rasmussen; Prof S. Ole Warnaar; A/Prof Masoud Kamgarpour",01-Jan-0020,440978,"Towards logarithmic representation theory of W-algebras. Aims: To construct and analyse indecomposable representations of significance in conformal field theory.  

Significance: Conformal field theory plays a key role in many developments in mathematics and physics. Logarithmic conformal field theories govern important systems such as two-dimensional critical percolation. This proposal aims to develop the representation theory necessary for understanding salient features of critical systems described by logarithmic conformal field theory. 

Expected Outcomes: Novel representations of fundamental importance in logarithmic conformal field theory.

Benefit: Resolution of open problems in logarithmic conformal field theory, thus continuing the strong tradition in the field in Australia. 
"
"DE200101076",no,ARC,"ARC Discovery Early Career Researcher Award","Monash University","Dr Cameron Bentley",01-Jan-0020,449387,"Resolving nanoscale structure-activity for rational electrocatalyst design. This project aims to investigate the structural and functional properties of electrocatalysts at the nanoscale.  The project expects to develop state-of-the-art electrochemical imaging technology that can examine the active sites of electrodes during operation. Understanding electrode performance on this scale is expected to enhance our capability to rationally design cheaper and more-efficient electrocatalysts, notably for electrochemical carbon dioxide reduction. This should provide significant socio-economic and environmental benefits, through the development of next-generation energy storage and conversion materials that can be utilized by households and businesses to store renewable energy in the form of carbon-neutral fuels."
"DP200102320",no,ARC,"ARC Discovery Projects","Australian National University","Prof Shane Cronin; A/Prof Stuart Bedford; A/Prof Christopher Ballard",01-Jan-0020,346074,"Kuwae 1452 AD: multi-disciplinary perspectives on a Pacific super-eruption. This project seeks to resolve the question of whether the mid-15th century eruption of Kuwae in Vanuatu can be confirmed as one of the largest global volcanic and climatic events of the last 2000 years. Through archival, field and laboratory research, an experienced transdisciplinary team from archaeology, volcanology and history aims to conduct collaborative research over three seasons in central Vanuatu. Project goals include dating the eruptive event, defining its scale, reconstructing Kuwae’s local social and environmental conditions prior to and after the eruption, and developing practical volcanic risk reduction strategies together with local communities and authorities in Vanuatu."
"DE200101078",no,ARC,"ARC Discovery Early Career Researcher Award","University of Sydney","Dr Sarah Masso",01-Jan-0020,476623,"Polysyllables and Emerging Early Literacy . The aims of this research are to determine trajectories of polysyllabic word development in children with and without typical speech sound development, and examine the relationship between polysyllabic word accuracy and early literacy development. This research is significant as it will utilise innovative speech analysis techniques to identify the skills of children during a critical period of development, their transition to school. The expected outcomes of this research include: (1) to establish new methods to identify children who are at risk of finding it hard to learn to read, and (2) creating the first longitudinal corpus of polysyllabic words from Australian English-speaking children with and without speech sound disorder."
"DE200101079",no,ARC,"ARC Discovery Early Career Researcher Award","Queensland University of Technology","Dr Oscar Oviedo Trespalacios",01-Jan-0020,251654,"Safe distractions? Taking the danger out of competing activities. Distracted driving is an increasing safety concern in Australia and worldwide. Smartphones play key roles in today’s professional and social contexts and current road safety policies based on stopping their use while driving have shown little success. Distraction is predicted to be an even greater issue in new semi-automated vehicles. This project proposes an innovative approach that will enable safe engagement in competing tasks while driving non-automated and semi-automated vehicles. The outcomes will underpin the development of new technologies to reduce the potential adverse effects of these distractions and thus reduce deaths and serious injuries, representing significant cost savings to the health system and the community."
"DP200102328",no,ARC,"ARC Discovery Projects","Flinders University","A/Prof Emma Sherratt; Prof Michael Lee",01-Jan-0020,448508,"Snake fangs: insights into evolution, palaeoclimate and biodesign . This project aims to generate unprecedented insights into the fangs of venomous snakes, focusing on elapids (taipans, tiger snakes etc).  We will examine fang shape diversity, correlation with behavior and ecology, evolutionary history, and biomechanical properties. Data will be collected using cutting-edge micro-CT technology and analysed using 3D geometric morphometrics, computer simulations, and advanced phylogenetic techniques. This should greatly improve understanding of the evolution of venom fangs in all snakes.  Other benefits include a large 3D reference database allowing identification of fossil fangs, with applications for studies of past climates, and a characterisation of fang biomechanics, relevant to biodesign and biomimicry."
"DP200102329",no,ARC,"ARC Discovery Projects","Monash University","A/Prof Alexander Sen Gupta; Prof Shayne McGregor; Prof Dietmar Dommenget; Dr Scott Power",01-Jan-0020,431869,"Improving the credibility of regional sea level rise projections. Anthropogenic sea level rise is expected to inundate low-lying islands and coastlines around the world, with multiple model projections suggesting that changes in wind patterns will lead to larger than average sea level rise along Australia’s east coast and in neighbouring small island nations. Confidence in projections of this spatial sea level rise variability is low, however, due to a strong mismatch between patterns of observed and model-projected sea level rise in recent decades. This work will use a newly developed climate model hierarchy and innovative experimental design to determine the cause of this discrepancy and will produce more credible regional sea level rise projections by clarifying and reducing projection uncertainty.
"
"DP200102332",no,ARC,"ARC Discovery Projects","Macquarie University","Prof Tom Smith; Prof Martina Linnenluecke",01-Jan-0020,342250,"The Effects of International Climate Policy on Financial Markets. This project aims to develop and test a new methodology to determine the potential consequences of effective action on climate change for the asset values of fossil fuel firms. Taking into consideration policy signals from the UN Climate Change Meetings, such as the Paris Agreement, this project attempts to determine whether the market was already factoring in a significant probability of effective action on climate change, and whether this impacted firm value. The project intends to provide an assessment of risk associated with stranded assets to policymakers and executives in fossil-fuel and carbon-intensive sectors, and seeks to develop data, models and new analytical approaches that contribute to valuing environmental risk factors."
"DP200102337",no,ARC,"ARC Discovery Projects","Macquarie University","Prof Ken Cheng; Prof Ajay Narendra",01-Jan-0020,462989,"Becoming expert navigators with tiny brains: Learning in desert ants. Desert ants with tiny brains learn to use their surrounding visual landscape to navigate. This project investigates in detail how they do that in a few carefully orchestrated trips around their nest called learning walks. Desert ants are known now to use magnetic cues to orient during their learning walks. The project also probes the role that magnetic cues play in the ants’ learning, as well as the sensory basis of the perception of magnetic cues. Geomagnetic cues in the area of the nest will be artificially manipulated to test how ants use this cue. Probing the use of magnetic cues has potential benefits for projects of artificial autonomous navigation in situations when visual cues are unavailable, such as exploring a deep mine.
"
"DP200102346",no,ARC,"ARC Discovery Projects","University of Newcastle","Prof István Winkler; Prof Juanita Todd; Dr Christoph Mathys",01-Jan-0020,178896,"Moving from assumptions to new learning.     . Moving from assumptions to new learning. The project aims to investigate the processes that drive new learning
by using automatically evoked brain responses to examine when new information triggers the brain to update
beliefs about the world. The project will generate new knowledge on the maturity of this process at birth, how it
declines with older age and the brain areas critical to the process. The outcomes will provide insight into how 
attentional resources are automatically marshalled when beliefs are challenged, and it will help identify the consequences for learning when a system is immature, or the process breaks down with increasing age."
"DP200102351",no,ARC,"ARC Discovery Projects","University of Sydney","Dr Jemma Geoghegan; Prof Edward Holmes",01-Jan-0020,588113,"Revealing the determinants of viral emergence and evolution in fish. Viral diseases pose an ongoing threat to Australian aquaculture. The devastating impact of emerging viruses makes it imperative to understand the factors that allow them to evolve and infect new hosts. We will address these key issues by revealing the diversity, abundance and evolution of viruses in fish sampled along the Australian east coast. The data generated will reveal the untapped biodiversity of fish viruses, the frequency which they jump species boundaries and the determinants of this process, and how they are impacted by host ecology, including whether fish viruses follow a latitudinal gradient in diversity. The data generated will transform our understanding of fish viruses and identify those most likely to impact aquaculture."
"DP200102363",no,ARC,"ARC Discovery Projects","University of Queensland","Prof Linda Richards",01-Jan-0020,459804,"Control of cellular differentiation in the developing brain. This project aims to understand how mature brain cells form during foetal life. The central hypothesis is that a specific transcription factor family, called NFI, regulates the epigenetic state of the cell, allowing chromatin accessibility and subsequent transcriptional activation and repression to control cellular differentiation. Aims 1 and 2 will investigate how brain cells transition from proliferating progenitor cells to differentiated mature cell types. Aim 3 will investigate how differentiation is maintained in the adult brain. Methods used involve genome and chromatin analyses of cells isolated from transgenic mouse models. Outcomes and benefits are substantial knowledge gain applicable to stem cell regulation and brain health."
"DP200102364",no,ARC,"ARC Discovery Projects","University of Newcastle","A/Prof Markus Wagner; Prof Pablo Moscato; Prof Stanislav Djorgovski; Prof Carlos Cotta; A/Prof Massimo Cafaro",01-Jan-0020,545307,"Multiobjective Memetic Algorithms for Multi-task Symbolic Regression. This project aims at developing the new generation of symbolic regression methods using a yet unexplored way to represent mathematical functions. We will use memetic algorithms to create mathematical models for symbolic regression. Our memetic computing approach will be data-driven and will use multi-objective optimization and multi-task evolutionary computation for symbolic regression, addressing a core need of many areas of science and technology. A large number of datasets will be investigated to benchmark the new methods. The expected outcomes will help support our national priorities with new data analytic capabilities. With a strong and interdisciplinary team in three continents, the project will attract international collaboration.  "
"DP200102366",no,ARC,"ARC Discovery Projects","University of New South Wales","Prof Steffen Marburg; Prof Nicole Kessissoglou; Dr Paul Croaker",01-Jan-0020,419714,"Dominant flow noise source identification for ducted marine propellers. Ducted marine propellers are becoming an increasing alternative to conventional open propellers. Understanding flow-induced noise generated by ducted propellers is a key consideration in the design process to minimise noise emission. This project aims to develop new methods to identify turbulent flow sources of a ducted marine propeller that dominate sound. High-fidelity numerical methods will be developed to study the complex interaction between inflow turbulence, support struts, propeller blades and duct structure. Successful identification of the dominant sources of noise will allow for targeted noise mitigation strategies with significant impact for stealth of military vessels and reduction of underwater noise pollution on marine life."
"DP200102367",no,ARC,"ARC Discovery Projects","University of Queensland","Prof Guy Abel; A/Prof Elin Charles-Edwards; Dr Aude Bernard",01-Jan-0020,177056,"Asian Migration in the 21st Century: An Integrated Account . Migration is a defining issue of the 21st Century. Despite its significance, migration is poorly understood because different types of movement are conceptualised, measured and studied separately. This project aims to develop an integrated understanding of multiple forms of population movement in Asia incorporating both internal and international migration and temporary and permanent moves. It will establish the intensity, spatial patterns and interaction between the different forms of migration for countries in Asia, and its impacts at origins and at destinations. The results are expected to provide significant benefits including a strong evidence base for the formulation of national and international migration policy in the 21st Century."
"DP200102371",no,ARC,"ARC Discovery Projects","University of Sydney","Dr Thomas Beesley; Dr Caroline Moul; Prof Mark Dadds",01-Jan-0020,434632,"Can psychopathy inform the cognitive mechanics of social learning? Psychopathic personality traits engender risk for socio-emotional problems and antisocial behaviour; this project should shed light on the mechanisms responsible. It aims to advance our understanding of the origin of psychopathic personality by applying novel theory and methods to investigate the cognitive mechanics of these traits. It is expected that this will lead to new insights into the roles of associative learning and attention, and the underlying neural mechanisms, in social learning and empathy development. Expected outcomes of this project include; significant advances in this field of research, ongoing interdisciplinary collaborations, and highly desirable postgraduate opportunities."
"DE200101096",no,ARC,"ARC Discovery Early Career Researcher Award","Queensland University of Technology","A/Prof Hendrik Frisch",01-Jan-0020,449716,"Programming Polymer Function via Ring-opening Polymerisation of Peptides. The project aims to set the foundation of a class of intelligent polymers, whose structure and function – including catalytic activity and biodegradability – can be readily programmed. In contrast to well-established radical polymerization techniques leading to all-carbon based backbones, the outlined research will develop technologies to incorporate short peptides into the backbones of synthetic polymers. The synthetically adjustable amino acid sequence of the main chain embedded peptides will translate into the structure and function of the modular polymer. The DECRA will deliver unprecedented access towards tailor-made mechanical properties, catalytic activity and biodegradability of polymeric materials."
"DP200102377",no,ARC,"ARC Discovery Projects","University of Queensland","Prof Irina Vetter; Dr Thomas Durek",01-Jan-0020,410654,"Toxins from Down Under: Novel tools to understand and modulate ion channels. Venoms are complex secretions containing biologically active components that have evolved over millions of years to specifically target the nervous systems of predators and prey. Two novel classes of toxins from snake and plant venoms that act on voltage-gated sodium channels, key proteins that regulate neuronal excitability, were recently identified by the research team. The project aims to develop and apply state-of-the-art chemical, structural and biological techniques to unravel the molecular mechanisms through which these novel toxin classes act at their targets. Insights gained from this project will help identify and develop novel channel-modulating molecules that may have applications as neuroscience tools, diagnostics or drugs."
"DP200102378",no,ARC,"ARC Discovery Projects","University of Sydney","Prof Helen Proctor; Prof Jessica Gerrard; Prof Susan Goodwin",01-Jan-0020,297178,"Community organising in Australian education policy, 1970s-1980s . This project aims to investigate the activities, networks, ambitions, and rationales of community groups advocating for education policy reform across Australia in the 1970s and 1980s. The project expects to generate new knowledge about the relationship between education policy change and civic participation in Australia’s recent history. Expected outcomes include a detailed understanding of how community-based education reformers shaped education policy, from across the political spectrum. This should provide significant benefits including an innovative, publicly available database, insight into how and why people organised to bring about education reform, and the role of community action in policy formation."
"DP200102383",no,ARC,"ARC Discovery Projects","Australian National University","Prof Michael Ireland; A/Prof Tony Travouillon",01-Jan-0020,457606,"Linear Formation Interferometry for Astrophysics and New Space Technologies. This project will prototype a new type of visible and infrared light interferometry: telescopes freely moving in a line 10s of metres in length and directing their light towards a central beam combiner. This is particularly well suited to sparse aperture optical interferometry from space, which can be used to resolve angular scales much finer than the world's largest monolithic telescopes. The ground based prototype will also be able to make a several key astrophysical observations of benchmark stars and stellar systems, including making precise polarimetric measurements of dust shells around bright stars."
"DE200101100",no,ARC,"ARC Discovery Early Career Researcher Award","University of Canberra","Dr Munawar Hayat",01-Jan-0020,327919,"Towards Robotic Empathy: A human centred approach to future AI machines. The project aims to equip future robots with empathy by developing computational models which can leverage from verbal and non-verbal cues. With recent advances in artificial intelligence research, robots now have better cognitive and function skills, but they lack socio-emotional skills. Since these robots are expected to provide assistance to humans across different domains including rehabilitation, education and health care, empowering them with empathetic abilities is important for their success. The project will advance fundamental research in machine learning, affective computing and artificial intelligence to model human behavior, personality traits and emotions for an empathetic human-robot interaction."
"DE200101103",no,ARC,"ARC Discovery Early Career Researcher Award","University of Wollongong","Dr Huan Ye",01-Jan-0020,0,"Stable Lithium-Sodium Metal Anodes for Rechargeable Alkali Metal Batteries. The project aims to address the safety issues derived from the dendritic growth and volume variation of alkali metal anodes, which are a challenge for the practical application of rechargeable alkali metal batteries. This project seeks to design a novel 3D lithium/sodium host featuring a lithiophilic-lithiophobic gradient interfacial layer to achieve uniform deposition and structural stability. The expected outcome of this project is to successfully develop alkali metal batteries that are stable, safe and have high energy density. This project should have significant benefits such as the advancement of knowledge in alkali metal batteries and strengthen Australia’s competitiveness in the area of next-generation energy storage technologies."
"DP200102395",no,ARC,"ARC Discovery Projects","University of Tasmania","Prof David Bowman",01-Jan-0020,337386,"Does fire control vegetation in the Tasmanian World Heritage Area? Aims: This project aims to discriminate between competing explanations for vegetation patterns in the Tasmanian Wilderness World Heritage Area: (a) fire (the legacy of Aboriginal burning), or (b) soil. We will do this through a novel, transdisciplinary research program. 
Significance: The project expects to create new knowledge essential for achieving evidence-based fire management, as well as to advance a globally important ecological theory.
Outcomes: Expected outcomes include significantly strengthened fire science and fire management capacity in Tasmania.
Benefit: Benefits should include the protection of globally significant cultural, biological and landscape values that sustain the vibrant Tasmanian tourist economy."
"DP200102396",no,ARC,"ARC Discovery Projects","Macquarie University","A/Prof Arne Ittner",01-Jan-0020,843132,"Mechanisms of memory function involving site-specific tau phosphorylation. This project aims to understand the molecular principles that facilitate encoding, maintenance and retrieval of memories in the brain. To store memories in brain circuits, electrical and chemical signals are crucial. Brain cells can integrate signals into biochemical modifications of intracellular proteins. The nature of the protein modifications that represent memory within brain cells is unknown. This project uses innovative genome editing, mathematical modelling and proteomic approaches, to study how biochemical modifications of a key protein called tau help encode and retrieve memories. These molecular insights will make a significant advance in the current understanding of a brain function that is essential to all human activities."
"DE200101105",no,ARC,"ARC Discovery Early Career Researcher Award","University of Sydney","Dr Linlin Li",01-Jan-0020,0,"Probing the nanomechanics of single grain boundary with decorated solutes. Grain boundaries (GBs) are thermodynamically susceptible to attract solutes to reduce system energy. Elaborately manipulating the GB nanostructure and chemistry via segregation can essentially be conducive, rather than detrimental, to materials performance. However, the underlying mechanism of GB segregation and its detailed effect on material properties remain elusive due to the GB complexities in the polycrystals. Through correlative in-situ nanomechanical testing and atom probe tomography, this project aims to unravel the rationale of segregation behaviour of individual GBs and its effectiveness to enhance the material performance, and hence enable nanostructural design of advanced metallic materials with unprecedented properties."
